name,mgmt_ip,device_type,vendor,model,credential_profile,port
SH-MH-601-J09U4-H3CS9825-G1-A04024,10.252.80.139,switch,h3c,S9825,default,22
SH-MH-601-J11U39-H3CS9825-G1-A04025,10.252.80.140,switch,h3c,S9825,default,22
SH-MH-601-J11U34-H3CS9825-G1-A04026,10.252.80.141,switch,h3c,S9825,default,22
SH-MH-601-J11U29-H3CS9825-G1-A04027,10.252.80.142,switch,h3c,S9825,default,22
SH-MH-601-J11U24-H3CS9825-G1-A04028,10.252.80.143,switch,h3c,S9825,default,22
SH-MH-601-J11U19-H3CS9825-G1-A04029,10.252.80.144,switch,h3c,S9825,default,22
SH-MH-601-J11U14-H3CS9825-G1-A04030,10.252.80.145,switch,h3c,S9825,default,22
SH-MH-601-J11U9-H3CS9825-G1-A04031,10.252.80.146,switch,h3c,S9825,default,22
SH-MH-601-J11U4-H3CS9825-G1-A04032,10.252.80.147,switch,h3c,S9825,default,22
SH-MH-501-C01U38-H3CS9825-G0-A01001,10.252.80.148,switch,h3c,S9825,default,22
SH-MH-501-C01U33-H3CS9825-G0-A02001,10.252.80.149,switch,h3c,S9825,default,22
SH-MH-501-C01U28-H3CS9825-G0-A03001,10.252.80.150,switch,h3c,S9825,default,22
SH-MH-501-C01U23-H3CS9825-G0-A04001,10.252.80.151,switch,h3c,S9825,default,22
SH-MH-501-D01U38-H3CS9825-G0-A05001,10.252.80.152,switch,h3c,S9825,default,22
SH-MH-501-D01U33-H3CS9825-G0-A06001,10.252.80.153,switch,h3c,S9825,default,22
SH-MH-501-D01U28-H3CS9825-G0-A07001,10.252.80.154,switch,h3c,S9825,default,22
SH-MH-501-D01U23-H3CS9825-G0-A08001,10.252.80.155,switch,h3c,S9825,default,22
SH-MH-501-J01U38-H3CS9825-G0-A01002,10.252.80.156,switch,h3c,S9825,default,22
SH-MH-501-J01U33-H3CS9825-G0-A02002,10.252.80.157,switch,h3c,S9825,default,22
SH-MH-501-J01U28-H3CS9825-G0-A03002,10.252.80.158,switch,h3c,S9825,default,22
SH-MH-501-J01U23-H3CS9825-G0-A04002,10.252.80.159,switch,h3c,S9825,default,22
SH-MH-501-K01U38-H3CS9825-G0-A05002,10.252.80.160,switch,h3c,S9825,default,22
SH-MH-501-K01U33-H3CS9825-G0-A06002,10.252.80.161,switch,h3c,S9825,default,22
SH-MH-501-K01U28-H3CS9825-G0-A07002,10.252.80.162,switch,h3c,S9825,default,22
SH-MH-501-K01U23-H3CS9825-G0-A08002,10.252.80.163,switch,h3c,S9825,default,22
SH-MH-502-H11U38-H3CS9825-G0-A01003,10.252.80.164,switch,h3c,S9825,default,22
SH-MH-502-H11U33-H3CS9825-G0-A02003,10.252.80.165,switch,h3c,S9825,default,22
SH-MH-502-H11U28-H3CS9825-G0-A03003,10.252.80.166,switch,h3c,S9825,default,22
SH-MH-502-H11U23-H3CS9825-G0-A04003,10.252.80.167,switch,h3c,S9825,default,22
SH-MH-502-O11U38-H3CS9825-G0-A05003,10.252.80.168,switch,h3c,S9825,default,22
SH-MH-502-O11U33-H3CS9825-G0-A06003,10.252.80.169,switch,h3c,S9825,default,22
SH-MH-502-O11U28-H3CS9825-G0-A07003,10.252.80.170,switch,h3c,S9825,default,22
SH-MH-502-O11U23-H3CS9825-G0-A08003,10.252.80.171,switch,h3c,S9825,default,22
SH-MH-502-H11U18-H3CS9825-G0-A01004,10.252.80.172,switch,h3c,S9825,default,22
SH-MH-502-H11U13-H3CS9825-G0-A02004,10.252.80.173,switch,h3c,S9825,default,22
SH-MH-502-H11U8-H3CS9825-G0-A03004,10.252.80.174,switch,h3c,S9825,default,22
SH-MH-502-H11U3-H3CS9825-G0-A04004,10.252.80.175,switch,h3c,S9825,default,22
SH-MH-502-O11U18-H3CS9825-G0-A05004,10.252.80.176,switch,h3c,S9825,default,22
SH-MH-502-O11U13-H3CS9825-G0-A06004,10.252.80.177,switch,h3c,S9825,default,22
SH-MH-502-O11U8-H3CS9825-G0-A07004,10.252.80.178,switch,h3c,S9825,default,22
SH-MH-502-O11U3-H3CS9825-G0-A08004,10.252.80.179,switch,h3c,S9825,default,22
SH-MH-502-B11U39-H3CS9825-G0-A01005,10.252.80.180,switch,h3c,S9825,default,22
SH-MH-502-B11U34-H3CS9825-G0-A02005,10.252.80.181,switch,h3c,S9825,default,22
SH-MH-502-B11U29-H3CS9825-G0-A03005,10.252.80.182,switch,h3c,S9825,default,22
SH-MH-502-B11U24-H3CS9825-G0-A04005,10.252.80.183,switch,h3c,S9825,default,22
SH-MH-502-I11U39-H3CS9825-G0-A05005,10.252.80.184,switch,h3c,S9825,default,22
SH-MH-502-I11U34-H3CS9825-G0-A06005,10.252.80.185,switch,h3c,S9825,default,22
SH-MH-502-I11U29-H3CS9825-G0-A07005,10.252.80.186,switch,h3c,S9825,default,22
SH-MH-502-I11U24-H3CS9825-G0-A08005,10.252.80.187,switch,h3c,S9825,default,22
SH-MH-601-E01U38-H3CS9825-G0-A01006,10.252.80.188,switch,h3c,S9825,default,22
SH-MH-601-E01U33-H3CS9825-G0-A02006,10.252.80.189,switch,h3c,S9825,default,22
SH-MH-601-E01U28-H3CS9825-G0-A03006,10.252.80.190,switch,h3c,S9825,default,22
SH-MH-601-E01U23-H3CS9825-G0-A04006,10.252.80.191,switch,h3c,S9825,default,22
SH-MH-601-F01U39-H3CS9825-G0-A05006,10.252.80.192,switch,h3c,S9825,default,22
SH-MH-601-F01U34-H3CS9825-G0-A06006,10.252.80.193,switch,h3c,S9825,default,22
SH-MH-601-F01U29-H3CS9825-G0-A07006,10.252.80.194,switch,h3c,S9825,default,22
SH-MH-601-F01U24-H3CS9825-G0-A08006,10.252.80.195,switch,h3c,S9825,default,22
SH-MH-601-K01U39-H3CS9825-G0-A01007,10.252.80.196,switch,h3c,S9825,default,22
SH-MH-601-K01U34-H3CS9825-G0-A02007,10.252.80.197,switch,h3c,S9825,default,22
SH-MH-601-K01U29-H3CS9825-G0-A03007,10.252.80.198,switch,h3c,S9825,default,22
SH-MH-601-K01U24-H3CS9825-G0-A04007,10.252.80.199,switch,h3c,S9825,default,22
